Microsoft (R) Windows Script Host Version 5.812
Copyright (C) Microsoft Corporation. All rights reserved.

year 2022, quarter 1, ticker AAF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker MRD, open 61, close 62, change 1, change% 1.63934426229508
year 2022, quarter 1, ticker MRP, open 34, close 33, change -1, change% -2.94117647058824
year 2022, quarter 1, ticker MSE, open 15, close 22, change 7, change% 46.6666666666667
year 2022, quarter 1, ticker MSH, open 80, close 81, change 1, change% 1.25
year 2022, quarter 1, ticker MSPH, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker MTE, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker MUDV, open 76, close 76, change 0, change% 0
year 2022, quarter 1, ticker MUL, open 44, close 48, change 4, change% 9.09090909090909
year 2022, quarter 1, ticker MVE, open 95, close 85, change -10, change% -10.5263157894737
year 2022, quarter 1, ticker MVL, open 382, close 379, change -3, change% -0.785340314136126
year 2022, quarter 1, ticker MVR, open 105, close 98, change -7, change% -6.66666666666667
year 2022, quarter 1, ticker MWIN, open 39, close 39, change 0, change% 0
year 2022, quarter 1, ticker MWO, open 96, close 94, change -2, change% -2.08333333333333
year 2022, quarter 1, ticker MWV, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker MXB, open 104, close 102, change -2, change% -1.92307692307692
year 2022, quarter 1, ticker MXX, open 12, close 14, change 2, change% 16.6666666666667
year 2022, quarter 1, ticker MYH, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker MYX, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker MZUI, open 36, close 37, change 1, change% 2.77777777777778
year 2022, quarter 1, ticker MZW, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker MZZ, open 40, close 44, change 4, change% 10
year 2022, quarter 1, ticker NADE, open 89, close 90, change 1, change% 1.12359550561798
year 2022, quarter 1, ticker NBJ, open 7, close 6, change -1, change% -14.2857142857143
year 2022, quarter 1, ticker NBY, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker NCX, open 20, close 21, change 1, change% 5
year 2022, quarter 1, ticker NDEL, open 36, close 35, change -1, change% -2.77777777777778
year 2022, quarter 1, ticker NDF, open 47, close 46, change -1, change% -2.12765957446809
year 2022, quarter 1, ticker NEBD, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker NFZ, open 30, close 33, change 3, change% 10
year 2022, quarter 1, ticker NH, open 24, close 22, change -2, change% -8.33333333333333
year 2022, quarter 1, ticker NHAJ, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker NHO, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker NIF, open 25, close 28, change 3, change% 12
year 2022, quarter 1, ticker NJL, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker NJP, open 96, close 104, change 8, change% 8.33333333333333
year 2022, quarter 1, ticker NJU, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker NJV, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker NKDU, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker NKHJ, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker NKI, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker NKQ, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker NKU, open 36, close 34, change -2, change% -5.55555555555556
year 2022, quarter 1, ticker NKZ, open 54, close 54, change 0, change% 0
year 2022, quarter 1, ticker NMY, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker NPL, open 24, close 25, change 1, change% 4.16666666666667
year 2022, quarter 1, ticker NPN, open 24, close 25, change 1, change% 4.16666666666667
year 2022, quarter 1, ticker NPP, open 19, close 17, change -2, change% -10.5263157894737
year 2022, quarter 1, ticker NPQ, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker NQV, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker NQW, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker NRAY, open 75, close 79, change 4, change% 5.33333333333333
year 2022, quarter 1, ticker NRB, open 90, close 90, change 0, change% 0
year 2022, quarter 1, ticker NRE, open 96, close 90, change -6, change% -6.25
year 2022, quarter 1, ticker NRT, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker NRUY, open 9, close 8, change -1, change% -11.1111111111111
year 2022, quarter 1, ticker NRWY, open 36, close 35, change -1, change% -2.77777777777778
year 2022, quarter 1, ticker NRX, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker NSJ, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker NSKM, open 79, close 78, change -1, change% -1.26582278481013
year 2022, quarter 1, ticker NTC, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker NTI, open 22, close 23, change 1, change% 4.54545454545455
year 2022, quarter 1, ticker NTJE, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker NTU, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker NVP, open 31, close 32, change 1, change% 3.2258064516129
year 2022, quarter 1, ticker NVZ, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker NWIO, open 29, close 29, change 0, change% 0
year 2022, quarter 1, ticker NWYF, open 8, close 9, change 1, change% 12.5
year 2022, quarter 1, ticker NXB, open 174, close 176, change 2, change% 1.14942528735632
year 2022, quarter 1, ticker NXC, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker NXUM, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker NYG, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker NYH, open 133, close 137, change 4, change% 3.00751879699248
year 2022, quarter 1, ticker NZD, open 440, close 443, change 3, change% 0.681818181818182
year 2022, quarter 1, ticker NZF, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker NZW, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker NZY, open 31, close 30, change -1, change% -3.2258064516129
year 2022, quarter 1, ticker OA, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker OAL, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker OATA, open 31, close 32, change 1, change% 3.2258064516129
year 2022, quarter 1, ticker OBF, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker OBQ, open 32, close 32, change 0, change% 0
year 2022, quarter 1, ticker OCC, open 16, close 14, change -2, change% -12.5
year 2022, quarter 1, ticker ODO, open 29, close 29, change 0, change% 0
year 2022, quarter 1, ticker OEP, open 39, close 38, change -1, change% -2.56410256410256
year 2022, quarter 1, ticker OFW, open 36, close 36, change 0, change% 0
year 2022, quarter 1, ticker OHKR, open 60, close 61, change 1, change% 1.66666666666667
year 2022, quarter 1, ticker OHQ, open 25, close 26, change 1, change% 4
year 2022, quarter 1, ticker OHVX, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker OIA, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker OIHC, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker OIJ, open 29, close 29, change 0, change% 0
year 2022, quarter 1, ticker OKV, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker OKWE, open 66, close 70, change 4, change% 6.06060606060606
year 2022, quarter 1, ticker OLST, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker OLZ, open 56, close 57, change 1, change% 1.78571428571429
year 2022, quarter 1, ticker OMPS, open 121, close 104, change -17, change% -14.0495867768595
year 2022, quarter 1, ticker ONN, open 23, close 22, change -1, change% -4.34782608695652
year 2022, quarter 1, ticker OOB, open 7, close 6, change -1, change% -14.2857142857143
year 2022, quarter 1, ticker OOK, open 31, close 32, change 1, change% 3.2258064516129
year 2022, quarter 1, ticker OOPM, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker OOX, open 29, close 30, change 1, change% 3.44827586206897
year 2022, quarter 1, ticker OOZZ, open 47, close 53, change 6, change% 12.7659574468085
year 2022, quarter 1, ticker OPEM, open 132, close 134, change 2, change% 1.51515151515152
year 2022, quarter 1, ticker OPF, open 17, close 18, change 1, change% 5.88235294117647
year 2022, quarter 1, ticker OQC, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker OQJ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker OQW, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker OQZJ, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker ORI, open 73, close 75, change 2, change% 2.73972602739726
year 2022, quarter 1, ticker ORK, open 35, close 36, change 1, change% 2.85714285714286
year 2022, quarter 1, ticker OSJ, open 20, close 21, change 1, change% 5
year 2022, quarter 1, ticker OSP, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker OTE, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker OTG, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker OUG, open 55, close 55, change 0, change% 0
year 2022, quarter 1, ticker OUS, open 17, close 18, change 1, change% 5.88235294117647
year 2022, quarter 1, ticker OUY, open 26, close 25, change -1, change% -3.84615384615385
year 2022, quarter 1, ticker OVL, open 253, close 242, change -11, change% -4.34782608695652
year 2022, quarter 1, ticker OVQ, open 165, close 169, change 4, change% 2.42424242424242
year 2022, quarter 1, ticker OVT, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker OVZA, open 5, close 6, change 1, change% 20
year 2022, quarter 1, ticker OWO, open 101, close 101, change 0, change% 0
year 2022, quarter 1, ticker OYA, open 38, close 39, change 1, change% 2.63157894736842
year 2022, quarter 1, ticker OYF, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker OYP, open 37, close 36, change -1, change% -2.7027027027027
year 2022, quarter 1, ticker OZH, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker OZQA, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker OZX, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker PAB, open 28, close 30, change 2, change% 7.14285714285714
year 2022, quarter 1, ticker PAK, open 50, close 47, change -3, change% -6
year 2022, quarter 1, ticker PCB, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker PDG, open 66, close 69, change 3, change% 4.54545454545455
year 2022, quarter 1, ticker PDRJ, open 29, close 28, change -1, change% -3.44827586206897
year 2022, quarter 1, ticker PEK, open 36, close 39, change 3, change% 8.33333333333333
year 2022, quarter 1, ticker PEL, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker PFA, open 26, close 24, change -2, change% -7.69230769230769
year 2022, quarter 1, ticker PHK, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker PHN, open 44, close 45, change 1, change% 2.27272727272727
year 2022, quarter 1, ticker PIQ, open 35, close 35, change 0, change% 0
year 2022, quarter 1, ticker PIZ, open 86, close 89, change 3, change% 3.48837209302326
year 2022, quarter 1, ticker PJ, open 35, close 36, change 1, change% 2.85714285714286
year 2022, quarter 1, ticker PJQ, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker PKSY, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker PKX, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker PLBR, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker PLQF, open 33, close 35, change 2, change% 6.06060606060606
year 2022, quarter 1, ticker PNOW, open 10, close 11, change 1, change% 10
year 2022, quarter 1, ticker PNZ, open 21, close 25, change 4, change% 19.047619047619
year 2022, quarter 1, ticker PNZM, open 178, close 182, change 4, change% 2.24719101123596
year 2022, quarter 1, ticker POQP, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker PPX, open 29, close 29, change 0, change% 0
year 2022, quarter 1, ticker PQB, open 42, close 45, change 3, change% 7.14285714285714
year 2022, quarter 1, ticker PQR, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker PRA, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker PRD, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker PRDP, open 42, close 42, change 0, change% 0
year 2022, quarter 1, ticker PRW, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker PSE, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker PSIH, open 6, close 7, change 1, change% 16.6666666666667
year 2022, quarter 1, ticker PSJ, open 184, close 181, change -3, change% -1.6304347826087
year 2022, quarter 1, ticker PSM, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker PSN, open 27, close 29, change 2, change% 7.40740740740741
year 2022, quarter 1, ticker PVO, open 8, close 9, change 1, change% 12.5
year 2022, quarter 1, ticker PVP, open 12, close 14, change 2, change% 16.6666666666667
year 2022, quarter 1, ticker PVYK, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker PW, open 59, close 57, change -2, change% -3.38983050847458
year 2022, quarter 1, ticker PXB, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker PXT, open 47, close 47, change 0, change% 0
year 2022, quarter 1, ticker PYF, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker PYG, open 18, close 19, change 1, change% 5.55555555555556
year 2022, quarter 1, ticker PYH, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker PYJY, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker PYO, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker PYQT, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker PYS, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker PYU, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker PYY, open 34, close 34, change 0, change% 0
year 2022, quarter 1, ticker PZY, open 51, close 54, change 3, change% 5.88235294117647
year 2022, quarter 1, ticker QABA, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker QAC, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker QAL, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker QB, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker QBE, open 43, close 42, change -1, change% -2.32558139534884
year 2022, quarter 1, ticker QBG, open 165, close 165, change 0, change% 0
year 2022, quarter 1, ticker QBO, open 25, close 22, change -3, change% -12
year 2022, quarter 1, ticker QCF, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker QCH, open 131, close 133, change 2, change% 1.52671755725191
year 2022, quarter 1, ticker QD, open 96, close 97, change 1, change% 1.04166666666667
year 2022, quarter 1, ticker QDEY, open 66, close 65, change -1, change% -1.51515151515152
year 2022, quarter 1, ticker QDP, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker QEBC, open 126, close 121, change -5, change% -3.96825396825397
year 2022, quarter 1, ticker QEDV, open 11, close 9, change -2, change% -18.1818181818182
year 2022, quarter 1, ticker QEF, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker QEP, open 15, close 14, change -1, change% -6.66666666666667
year 2022, quarter 1, ticker QEU, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker QFEI, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker QGE, open 34, close 35, change 1, change% 2.94117647058824
year 2022, quarter 1, ticker QGR, open 35, close 33, change -2, change% -5.71428571428571
year 2022, quarter 1, ticker QHID, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker QHL, open 38, close 39, change 1, change% 2.63157894736842
year 2022, quarter 1, ticker QHNR, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker QHTN, open 46, close 51, change 5, change% 10.8695652173913
year 2022, quarter 1, ticker QIS, open 95, close 96, change 1, change% 1.05263157894737
year 2022, quarter 1, ticker QIT, open 82, close 84, change 2, change% 2.4390243902439
year 2022, quarter 1, ticker QIU, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker QIV, open 4, close 5, change 1, change% 25
year 2022, quarter 1, ticker QIY, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker QJF, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker QJR, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker QKA, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker QKF, open 33, close 33, change 0, change% 0
year 2022, quarter 1, ticker QLLN, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker QMX, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker QNQ, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker QNY, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker QOE, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker QOG, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker QOZ, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker QPPI, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker QPSB, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker QPU, open 39, close 38, change -1, change% -2.56410256410256
year 2022, quarter 1, ticker QQBZ, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker QQEL, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker QSN, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker QSO, open 48, close 46, change -2, change% -4.16666666666667
year 2022, quarter 1, ticker QSR, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker QTK, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker QTL, open 34, close 32, change -2, change% -5.88235294117647
year 2022, quarter 1, ticker QTLN, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker QTZ, open 34, close 34, change 0, change% 0
year 2022, quarter 1, ticker QUB, open 35, close 38, change 3, change% 8.57142857142857
year 2022, quarter 1, ticker QUR, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker QUS, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker QUX, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker QVJ, open 95, close 93, change -2, change% -2.10526315789474
year 2022, quarter 1, ticker QVX, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker QWA, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker QWK, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker QWZ, open 44, close 45, change 1, change% 2.27272727272727
year 2022, quarter 1, ticker QX, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker QXC, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker QXJ, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker QXR, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker QYI, open 33, close 34, change 1, change% 3.03030303030303
year 2022, quarter 1, ticker QYK, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker QYM, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker QYO, open 126, close 118, change -8, change% -6.34920634920635
year 2022, quarter 1, ticker RAK, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker RALG, open 153, close 155, change 2, change% 1.30718954248366
year 2022, quarter 1, ticker RAR, open 51, close 49, change -2, change% -3.92156862745098
year 2022, quarter 1, ticker RAUW, open 38, close 39, change 1, change% 2.63157894736842
year 2022, quarter 1, ticker RBA, open 17, close 13, change -4, change% -23.5294117647059
year 2022, quarter 1, ticker RBG, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker RBW, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker RBZ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker RCDW, open 100, close 98, change -2, change% -2
year 2022, quarter 1, ticker RCHO, open 56, close 54, change -2, change% -3.57142857142857
year 2022, quarter 1, ticker RCX, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker RDQ, open 20, close 18, change -2, change% -10
year 2022, quarter 1, ticker RDS, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker RDVV, open 44, close 44, change 0, change% 0
year 2022, quarter 1, ticker RDY, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker REK, open 60, close 60, change 0, change% 0
year 2022, quarter 1, ticker REZ, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker RFF, open 55, close 55, change 0, change% 0
year 2022, quarter 1, ticker RFQ, open 32, close 31, change -1, change% -3.125
year 2022, quarter 1, ticker RGXG, open 313, close 320, change 7, change% 2.23642172523962
year 2022, quarter 1, ticker RHPU, open 53, close 53, change 0, change% 0
year 2022, quarter 1, ticker RHS, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker RIJ, open 41, close 42, change 1, change% 2.4390243902439
year 2022, quarter 1, ticker RIQ, open 37, close 36, change -1, change% -2.7027027027027
year 2022, quarter 1, ticker RKC, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker RKI, open 34, close 35, change 1, change% 2.94117647058824
year 2022, quarter 1, ticker RKQL, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker RKS, open 1, close 0, change -1, change% -100
year 2022, quarter 1, ticker RKY, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker RL, open 86, close 85, change -1, change% -1.16279069767442
year 2022, quarter 1, ticker RLA, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker RLL, open 19, close 22, change 3, change% 15.7894736842105
year 2022, quarter 1, ticker RLON, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker RMAR, open 83, close 81, change -2, change% -2.40963855421687
year 2022, quarter 1, ticker RMRK, open 20, close 21, change 1, change% 5
year 2022, quarter 1, ticker RNE, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker RNN, open 16, close 17, change 1, change% 6.25
year 2022, quarter 1, ticker ROV, open 55, close 61, change 6, change% 10.9090909090909
year 2022, quarter 1, ticker RPU, open 17, close 18, change 1, change% 5.88235294117647
year 2022, quarter 1, ticker RQB, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker RQF, open 33, close 31, change -2, change% -6.06060606060606
year 2022, quarter 1, ticker RQR, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker RQX, open 280, close 272, change -8, change% -2.85714285714286
year 2022, quarter 1, ticker RRF, open 66, close 65, change -1, change% -1.51515151515152
year 2022, quarter 1, ticker RRLR, open 18, close 20, change 2, change% 11.1111111111111
year 2022, quarter 1, ticker RRPI, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker RRWN, open 52, close 48, change -4, change% -7.69230769230769
year 2022, quarter 1, ticker RRYV, open 45, close 44, change -1, change% -2.22222222222222
year 2022, quarter 1, ticker RSE, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker RTB, open 32, close 30, change -2, change% -6.25
year 2022, quarter 1, ticker RTX, open 44, close 41, change -3, change% -6.81818181818182
year 2022, quarter 1, ticker RTZ, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker RUDU, open 27, close 26, change -1, change% -3.7037037037037
year 2022, quarter 1, ticker RUY, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker RVA, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker RVR, open 31, close 29, change -2, change% -6.45161290322581
year 2022, quarter 1, ticker RWFZ, open 10, close 11, change 1, change% 10
year 2022, quarter 1, ticker RWI, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker RWS, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker RWSB, open 10, close 11, change 1, change% 10
year 2022, quarter 1, ticker RXI, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker RXT, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker RYBT, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker RYO, open 67, close 67, change 0, change% 0
year 2022, quarter 1, ticker RYU, open 9, close 7, change -2, change% -22.2222222222222
year 2022, quarter 1, ticker RZC, open 8, close 9, change 1, change% 12.5
year 2022, quarter 1, ticker SBE, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker SBH, open 81, close 79, change -2, change% -2.46913580246914
year 2022, quarter 1, ticker SCD, open 137, close 141, change 4, change% 2.91970802919708
year 2022, quarter 1, ticker SCW, open 20, close 18, change -2, change% -10
year 2022, quarter 1, ticker SDJ, open 30, close 28, change -2, change% -6.66666666666667
year 2022, quarter 1, ticker SEF, open 47, close 47, change 0, change% 0
year 2022, quarter 1, ticker SFC, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker SFNM, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker SFS, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker SFV, open 30, close 30, change 0, change% 0
year 2022, quarter 1, ticker SII, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker SIV, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker SIVM, open 52, close 49, change -3, change% -5.76923076923077
year 2022, quarter 1, ticker SJA, open 106, close 106, change 0, change% 0
year 2022, quarter 1, ticker SJM, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker SJY, open 23, close 24, change 1, change% 4.34782608695652
year 2022, quarter 1, ticker SKL, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker SKS, open 49, close 49, change 0, change% 0
year 2022, quarter 1, ticker SLG, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker SLQ, open 175, close 178, change 3, change% 1.71428571428571
year 2022, quarter 1, ticker SMGR, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker SMOH, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker SPKM, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker SPRR, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker SRL, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker SRVU, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker SRX, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker SSC, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker STL, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker SUDI, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker SUVO, open 104, close 105, change 1, change% 0.961538461538462
year 2022, quarter 1, ticker SUY, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker SVK, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker SVL, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker SWL, open 6, close 5, change -1, change% -16.6666666666667
year 2022, quarter 1, ticker SWP, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker SWRR, open 32, close 32, change 0, change% 0
year 2022, quarter 1, ticker SWX, open 50, close 51, change 1, change% 2
year 2022, quarter 1, ticker SXK, open 25, close 26, change 1, change% 4
year 2022, quarter 1, ticker SXL, open 6, close 5, change -1, change% -16.6666666666667
year 2022, quarter 1, ticker SYJ, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker SYS, open 51, close 45, change -6, change% -11.7647058823529
year 2022, quarter 1, ticker TAQ, open 36, close 38, change 2, change% 5.55555555555556
year 2022, quarter 1, ticker TCB, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker TCD, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker TCV, open 42, close 36, change -6, change% -14.2857142857143
year 2022, quarter 1, ticker TCYU, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker TDJ, open 9, close 8, change -1, change% -11.1111111111111
year 2022, quarter 1, ticker TES, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker TESR, open 103, close 101, change -2, change% -1.94174757281553
year 2022, quarter 1, ticker THCF, open 20, close 20, change 0, change% 0
